table_name,filter_size,symmetric_difference,max_hashes,a_value
IBLT,0.2,0.1,3,-10.0
IBLT,0.2,0.1,4,-10.0
IBLT,0.2,0.1,6,-10.0
IBLT,0.2,0.1,7,-10.0
IBLT,0.2,0.1,8,-10.0
IBLT,0.2,0.1,9,-10.0
IBLT,0.2,0.1,10,-10.0
IBLT,0.2,0.1,12,-10.0
IBLT,0.2,0.1,15,-10.0
IBLT,0.2,0.1,20,-10.0
IBLT,0.2,0.1,50,-10.0
IBLT,0.2,0.1,75,-10.0
IBLT,0.2,0.1,100,-10.0
IBLT,0.2,0.12,5,-10.0
IBLT,0.2,0.14,6,-10.0
IBLT,0.22,0.1,3,-10.0
IBLT,0.22,0.16,3,-10.0
IBLT,0.24,0.1,3,-10.0
IBLT,0.24,0.18,3,-10.0
IBLT,0.26,0.1,3,-10.0
IBLT,0.28,0.1,3,-10.0
IBLT,0.28,0.2,3,-10.0
IBLT,0.3,0.1,3,-10.0
IBLT,0.3,0.22,3,-10.0
IBLT,0.32,0.1,3,-10.0
IBLT,0.32,0.24,10,-10.0
IBLT,0.34,0.1,3,-10.0
IBLT,0.36,0.1,3,-10.0
IBLT,0.36,0.26,4,-10.0
IBLT,0.38,0.1,3,-10.0
IBLT,0.38,0.28,3,-10.0
IBLT,0.4,0.1,3,-10.0
IBLT,0.4,0.3,3,-10.0
IBLT,0.42,0.1,3,-10.0
IBLT,0.42,0.32,7,-10.0
IBLT,0.44,0.1,3,-10.0
IBLT,0.44,0.34,8,-10.0
IBLT,0.46,0.1,3,-10.0
IBLT,0.48,0.1,3,-10.0
IBLT,0.48,0.36,3,-10.0
IBLT,0.48,0.38,5,-10.0
IBLT,0.5,0.1,3,-10.0
IBLT,0.52,0.1,3,-10.0
IBLT,0.52,0.4,6,-10.0
IBLT,0.54,0.1,3,-10.0
IBLT,0.54,0.42,10,-10.0
IBLT,0.56,0.1,3,-10.0
IBLT,0.56,0.44,15,-10.0
IBLT,0.58,0.1,3,-10.0
IBLT,0.6,0.1,3,-10.0
IBLT,0.6,0.46,3,-10.0
IBLT,0.6,0.48,6,-10.0
IBLT,0.62,0.1,3,-10.0
